OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate
2430,La Plata High School,Charles,4,2021/10/06 15:00:00+00
2431,Landon School,Montgomery,8,2021/10/06 15:00:00+00
2432,Laurel Woods Elementary School,Howard,4,2021/10/06 15:00:00+00
2433,Leonardtown High School,St. Mary's,71,2021/10/06 15:00:00+00
2434,Leonardtown Middle School,St. Mary's,22,2021/10/06 15:00:00+00
2435,Lexington Park Elementary School,St. Mary's,2,2021/10/06 15:00:00+00
2436,Living Hope Christian School,Somerset,11,2021/10/06 15:00:00+00
2437,Logan Elementary,Baltimore,3,2021/10/06 15:00:00+00
2438,Lutherville Laboratory,Baltimore,3,2021/10/06 15:00:00+00
2439,Magothy River Middle School,Anne Arundel,4,2021/10/06 15:00:00+00
2440,Margaret Brent Middle School,St. Mary's,62,2021/10/06 15:00:00+00
2441,Marley Elementary School,Anne Arundel,7,2021/10/06 15:00:00+00
2442,Maryland International School of Sustainability and Technology,Washington,7,2021/10/06 15:00:00+00
2443,Mattawoman Middle School,Charles,5,2021/10/06 15:00:00+00
2444,McDonogh School,Baltimore,2,2021/10/06 15:00:00+00
2445,Mechanicsville Elementary School,Carroll,3,2021/10/06 15:00:00+00
2446,Middletown High School,Frederick,2,2021/10/06 15:00:00+00
2447,Monarch Global Academy,Anne Arundel,9,2021/10/06 15:00:00+00
2448,Monsignor Slade Catholic School,Anne Arundel,10,2021/10/06 15:00:00+00
2449,Mount Airy Middle School,Carroll,2,2021/10/06 15:00:00+00
2450,Mount View Middle School,Howard,5,2021/10/06 15:00:00+00
2451,Mountain Ridge High School,Allegany,21,2021/10/06 15:00:00+00
2452,New Life Christian School,Frederick,8,2021/10/06 15:00:00+00
2453,New Town High School,Baltimore,7,2021/10/06 15:00:00+00
2454,North Bethesda Middle School,Montgomery,16,2021/10/06 15:00:00+00
2455,North Caroline High School,Caroline,7,2021/10/06 15:00:00+00
2456,North County High School,Anne Arundel,2,2021/10/06 15:00:00+00
2457,North Dorchester High School,Dorchester,20,2021/10/06 15:00:00+00
2458,North Dorchester Middle School,Dorchester,20,2021/10/06 15:00:00+00
2459,North East Middle School,Cecil,30,2021/10/06 15:00:00+00
2460,North Hagerstown High School,Washington,4,2021/10/06 15:00:00+00
2461,Northeast High School,Anne Arundel,25,2021/10/06 15:00:00+00
2462,Northeast Middle School,Anne Arundel,11,2021/10/06 15:00:00+00
2463,Northern Middle School,Washington,18,2021/10/06 15:00:00+00
2464,Northwest Middle School,Carroll,27,2021/10/06 15:00:00+00
2465,Oakdale Middle School,Frederick,6,2021/10/06 15:00:00+00
2466,Oakleigh Elementary School,Baltimore,2,2021/10/06 15:00:00+00
2467,Oakville Elementary School,St. Mary's,2,2021/10/06 15:00:00+00
2468,Oakwood Elementary School,Anne Arundel,5,2021/10/06 15:00:00+00
2469,Old Mill High School,Anne Arundel,2,2021/10/06 15:00:00+00
2470,Old Mill Middle School,Anne Arundel,18,2021/10/06 15:00:00+00
2471,Orchard Groves Elementary School,Frederick,11,2021/10/06 15:00:00+00
2472,Parkside High School,Wicomico,27,2021/10/06 15:00:00+00
2473,Patapsco High School,Baltimore,6,2021/10/06 15:00:00+00
2474,Perry Hall Christian School,Baltimore,6,2021/10/06 15:00:00+00
2475,Perryville High School,Cecil,8,2021/10/06 15:00:00+00
2476,Phelps Luck Elementary School,Howard,9,2021/10/06 15:00:00+00
2477,Pimlico Elementary Middle School,Baltimore City,11,2021/10/06 15:00:00+00
2478,Piney Point Elementary School,St. Mary's,36,2021/10/06 15:00:00+00
2479,Pocomoke Elementary School,Worcester,6,2021/10/06 15:00:00+00
2480,Poolesville Elementary School,Montgomery,4,2021/10/06 15:00:00+00
2481,Pretty Boy Elementary,Baltimore,2,2021/10/06 15:00:00+00
2482,Reservoir High School,Howard,7,2021/10/06 15:00:00+00
2483,Rising Sun Middle School,Cecil,7,2021/10/06 15:00:00+00
2484,Robert Frost Middle School,Montgomery,3,2021/10/06 15:00:00+00
2485,Running Brook Elementary School,Howard,4,2021/10/06 15:00:00+00
2486,Seaside Christian Academy,Worcester,7,2021/10/06 15:00:00+00
2487,Severn Elementary School,Anne Arundel,4,2021/10/06 15:00:00+00
2488,Shady Spring Elementary School,Baltimore,11,2021/10/06 15:00:00+00
2489,Shiloh Middle School,Carroll,2,2021/10/06 15:00:00+00
2490,Shiloh Middle School,Carroll,2,2021/10/06 15:00:00+00
2491,Showell Elementary School,Worcester,18,2021/10/06 15:00:00+00
2492,Snow Hill Middle School,Worcester,24,2021/10/06 15:00:00+00
2493,Solley Elementary School,Anne Arundel,3,2021/10/06 15:00:00+00
2494,Somerset Intermediate School,Somerset,15,2021/10/06 15:00:00+00
2495,South Hampton Middle School,Harford,4,2021/10/06 15:00:00+00
2496,Southern Middle School,Garrett,3,2021/10/06 15:00:00+00
2497,Southern Middle School,Anne Arundel,9,2021/10/06 15:00:00+00
2498,Spring Ridge Middle School,St. Mary's,29,2021/10/06 15:00:00+00
2499,St Margaret Middle School,Harford,4,2021/10/06 15:00:00+00
2500,St. Jerome Academy,Prince George's,20,2021/10/06 15:00:00+00
2501,St. Margaret School,Harford,5,2021/10/06 15:00:00+00
2502,St. Mary's School,Charles,2,2021/10/06 15:00:00+00
2503,St. Michaels Elementary School,Talbot,2,2021/10/06 15:00:00+00
2504,St. Paul's Lutheran School,Baltimore,8,2021/10/06 15:00:00+00
2505,St. Ursula Catholic School,Baltimore,33,2021/10/06 15:00:00+00
2506,Stemmers Run Middle School,Baltimore,4,2021/10/06 15:00:00+00
2507,T.C. Martin Elementary School,Charles,17,2021/10/06 15:00:00+00
2508,Talmudical Academy,Baltimore,36,2021/10/06 15:00:00+00
2509,The Arrow School of Education,Baltimore,3,2021/10/06 15:00:00+00
2510,The Children's Guild - PG Campus,Prince George's,9,2021/10/06 15:00:00+00
2511,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,2021/10/06 15:00:00+00
2512,The John Carroll School,Harford,2,2021/10/06 15:00:00+00
2513,Thurmont Middle School,Frederick,20,2021/10/06 15:00:00+00
2514,Tristate Christian Academy,Cecil,12,2021/10/06 15:00:00+00
2515,Tuscarora Elementary School,Frederick,6,2021/10/06 15:00:00+00
2516,Vila Maria School,Baltimore,4,2021/10/06 15:00:00+00
2517,Walkersville Middle School,Frederick,5,2021/10/06 15:00:00+00
2518,Washington High School,Somerset,13,2021/10/06 15:00:00+00
2519,Wellwood International School,Baltimore,5,2021/10/06 15:00:00+00
2520,West Friendship Elementary School,Howard,3,2021/10/06 15:00:00+00
2521,Western Heights Middle,Washington,23,2021/10/06 15:00:00+00
2522,White Marsh Elementary School,St. Mary's,4,2021/10/06 15:00:00+00
2523,Wilde Lake Middle School,Howard,5,2021/10/06 15:00:00+00
2524,Williamsport High School,Washington,26,2021/10/06 15:00:00+00
2525,Woodbridge Elementary,Baltimore,2,2021/10/06 15:00:00+00
2526,Worthington Elementary School,Howard,7,2021/10/06 15:00:00+00
2527,Accident Elementary School,Garrett,2,2021/10/13 15:00:00+00
2528,Allegany High School,Allegany,27,2021/10/13 15:00:00+00
2529,Alphabet Education Inc at Mary B Neal Elementary,Charles,2,2021/10/13 15:00:00+00
2530,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,2021/10/13 15:00:00+00
2531,Annapolis Area Christian School - Severn Campus Lower School,Anne Arundel,5,2021/10/13 15:00:00+00
2532,Beach Elementary School,Calvert,3,2021/10/13 15:00:00+00
2533,Bel Air Elementary School,Allegany,3,2021/10/13 15:00:00+00
2534,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,2021/10/13 15:00:00+00
2535,Bethesda-Chevy Chase High School,Montgomery,2,2021/10/13 15:00:00+00
2536,Bodkin Elementary School,Anne Arundel,4,2021/10/13 15:00:00+00
2537,Bohemian Manor High School,Cecil,3,2021/10/13 15:00:00+00
2538,Braddock Middle School,Allegany,23,2021/10/13 15:00:00+00
2539,Bridgeway Elementary School,Anne Arundel,2,2021/10/13 15:00:00+00
2540,Brooklyn Park Middle School,Anne Arundel,3,2021/10/13 15:00:00+00
2541,Bryn Mawr School,Baltimore City,6,2021/10/13 15:00:00+00
2542,Buckingham Elementary School,Worcester,6,2021/10/13 15:00:00+00
2543,Calvert Hall College High School,Baltimore,10,2021/10/13 15:00:00+00
2544,Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,2021/10/13 15:00:00+00
2545,Captain Walter Francis Duke Middle School,St. Mary's,8,2021/10/13 15:00:00+00
2546,Cardinal Shehan,Baltimore City,6,2021/10/13 15:00:00+00
2547,Career Center for Technical Education,Allegany,29,2021/10/13 15:00:00+00
2548,Carter G.  Woodson Elementary School,Somerset,39,2021/10/13 15:00:00+00
2549,Catoctin High School,Frederick,20,2021/10/13 15:00:00+00
2550,Caver Vocational High School,Baltimore City,5,2021/10/13 15:00:00+00
2551,Chesapeake Bay Middle School,Anne Arundel,15,2021/10/13 15:00:00+00
2552,Chesapeake City Elementary School,Cecil,9,2021/10/13 15:00:00+00
2553,Chesapeake High School,Anne Arundel,40,2021/10/13 15:00:00+00
2554,Clear Spring High School,Washington,6,2021/10/13 15:00:00+00
2555,Clemens Crossing Elementary School,Howard,3,2021/10/13 15:00:00+00
2556,Cockeysville Middle School,Baltimore,2,2021/10/13 15:00:00+00
2557,Columbia Academy Elementary and Middle School,Howard,3,2021/10/13 15:00:00+00
2558,Crisfield High School,Somerset,15,2021/10/13 15:00:00+00
2559,Crofton High School,Anne Arundel,16,2021/10/13 15:00:00+00
2560,Crofton Middle School,Anne Arundel,2,2021/10/13 15:00:00+00
2561,Deerfield Elementary School,Harford,4,2021/10/13 15:00:00+00
2562,Diamond Elementary School,Montgomery,3,2021/10/13 15:00:00+00
2563,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,2021/10/13 15:00:00+00
2564,Dr. Thomas L. Higdon Elementary School,Charles,4,2021/10/13 15:00:00+00
2565,Dublin Elementary School,Harford,4,2021/10/13 15:00:00+00
2566,Easton Elementary School,Talbot,3,2021/10/13 15:00:00+00
2567,Elmwood Elementary School,Baltimore,4,2021/10/13 15:00:00+00
2568,Emma K. Doub Elementary School,Washington,4,2021/10/13 15:00:00+00
2569,Emmitsburg Elementary School,Frederick,4,2021/10/13 15:00:00+00
2570,Esperanza Middle School,St. Mary's,15,2021/10/13 15:00:00+00
2571,Federalsburg Elementary School,Caroline,8,2021/10/13 15:00:00+00
2572,Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,3,2021/10/13 15:00:00+00
2573,Fort Hill High School,Allegany,33,2021/10/13 15:00:00+00
2574,Francis Scott Key,Carroll,16,2021/10/13 15:00:00+00
2575,Frederick High School,Frederick,4,2021/10/13 15:00:00+00
2576,Friends School,Baltimore City,40,2021/10/13 15:00:00+00
2577,Garrison Forrest School,Baltimore,2,2021/10/13 15:00:00+00
2578,Gilpin Manor Elementary School,Cecil,2,2021/10/13 15:00:00+00
2579,Good Shepard Catholic School,Cecil,5,2021/10/13 15:00:00+00
2580,Great Mills High School,St. Mary's,44,2021/10/13 15:00:00+00
2581,Greenwood Elementary School,Somerset,13,2021/10/13 15:00:00+00
2582,Halethorpe Elementary School,Baltimore,2,2021/10/13 15:00:00+00
2583,Hancock Middle-Senior High School,Washington,8,2021/10/13 15:00:00+00
2584,Harford Technical High School,Harford,4,2021/10/13 15:00:00+00
2585,Havre de Grace Elementary,Harford,11,2021/10/13 15:00:00+00
2586,Havre de Grace High School,Harford,2,2021/10/13 15:00:00+00
2587,Hickory Elementary School,Harford,2,2021/10/13 15:00:00+00
2588,Homestead Wakefield Elementary School,Harford,6,2021/10/13 15:00:00+00
2589,Howard High School,Howard,5,2021/10/13 15:00:00+00
2590,James M. Bennett High School,Wicomico,4,2021/10/13 15:00:00+00
2591,John Archer School,Harford,2,2021/10/13 15:00:00+00
2592,Joppatowne Elementary,Harford,4,2021/10/13 15:00:00+00
2593,Kent Island High School,Queen Anne's,9,2021/10/13 15:00:00+00
2594,La Plata High School,Charles,4,2021/10/13 15:00:00+00
2595,Leonardtown High School,St. Mary's,71,2021/10/13 15:00:00+00
2596,Leonardtown Middle School,St. Mary's,22,2021/10/13 15:00:00+00
2597,Lexington Park Elementary School,St. Mary's,2,2021/10/13 15:00:00+00
2598,Logan Elementary,Baltimore,3,2021/10/13 15:00:00+00
2599,Lothian Elementary,Anne Arundel,3,2021/10/13 15:00:00+00
2600,Lutherville Laboratory,Baltimore,3,2021/10/13 15:00:00+00
2601,Margaret Brent Middle School,St. Mary's,83,2021/10/13 15:00:00+00
2602,Mattawoman Middle School,Charles,5,2021/10/13 15:00:00+00
2603,McDonogh School,Baltimore,4,2021/10/13 15:00:00+00
2604,Mechanicsville Elementary School,Carroll,3,2021/10/13 15:00:00+00
2605,Middletown High School,Frederick,7,2021/10/13 15:00:00+00
2606,Monarch Global Academy,Anne Arundel,13,2021/10/13 15:00:00+00
2607,Monocacy Valley Montessori Public Charter School,Frederick,2,2021/10/13 15:00:00+00
2608,Mother Mary Lange Catholic School,Baltimore City,3,2021/10/13 15:00:00+00
2609,Mount Airy Middle School,Carroll,2,2021/10/13 15:00:00+00
2610,Mount View Middle School,Howard,5,2021/10/13 15:00:00+00
2611,Mountain Ridge High School,Allegany,24,2021/10/13 15:00:00+00
2612,North Bend Elementary School,Harford,2,2021/10/13 15:00:00+00
2613,North Caroline High School,Caroline,7,2021/10/13 15:00:00+00
2614,North Dorchester High School,Dorchester,21,2021/10/13 15:00:00+00
2615,North Dorchester Middle School,Dorchester,22,2021/10/13 15:00:00+00
2616,North East Elementary School,Cecil,2,2021/10/13 15:00:00+00
2617,North East Middle School,Cecil,30,2021/10/13 15:00:00+00
2618,North Hagerstown High School,Washington,4,2021/10/13 15:00:00+00
2619,Northeast High School,Anne Arundel,30,2021/10/13 15:00:00+00
2620,Northeast Middle School,Anne Arundel,19,2021/10/13 15:00:00+00
2621,Northern Middle School,Washington,20,2021/10/13 15:00:00+00
2622,Northwest Middle School,Carroll,29,2021/10/13 15:00:00+00
2623,Oakleigh Elementary School,Baltimore,2,2021/10/13 15:00:00+00
2624,Oakville Elementary School,St. Mary's,7,2021/10/13 15:00:00+00
2625,Oakwood Elementary School,Anne Arundel,5,2021/10/13 15:00:00+00
2626,Old Mill Middle School - North,Anne Arundel,14,2021/10/13 15:00:00+00
2627,Old Mill Middle School - South,Anne Arundel,20,2021/10/13 15:00:00+00
2628,Orchard Groves Elementary School,Frederick,15,2021/10/13 15:00:00+00
2629,Parkside High School,Wicomico,32,2021/10/13 15:00:00+00
2630,Patuxent Appeal Elementary School,Calvert,2,2021/10/13 15:00:00+00
2631,Perry Hall Christian School,Baltimore,6,2021/10/13 15:00:00+00
2632,Perryville High School,Cecil,18,2021/10/13 15:00:00+00
2633,Phelps Luck Elementary School,Howard,9,2021/10/13 15:00:00+00
2634,Pimlico Elementary Middle School,Baltimore City,12,2021/10/13 15:00:00+00
2635,Piney Point Elementary School,St. Mary's,39,2021/10/13 15:00:00+00
2636,Pocomoke Elementary School,Worcester,7,2021/10/13 15:00:00+00
2637,Pocomoke High School,Worcester,6,2021/10/13 15:00:00+00
2638,Point Pleasant Elementary School,Anne Arundel,3,2021/10/13 15:00:00+00
2639,Poolesville Elementary School,Montgomery,4,2021/10/13 15:00:00+00
2640,Pretty Boy Elementary,Baltimore,2,2021/10/13 15:00:00+00
2641,Reservoir High School,Howard,7,2021/10/13 15:00:00+00
2642,Ridge Elementary,St. Mary's,3,2021/10/13 15:00:00+00
2643,Rising Sun Middle School,Cecil,7,2021/10/13 15:00:00+00
2644,Running Brook Elementary School,Howard,4,2021/10/13 15:00:00+00
2645,Seaside Christian Academy,Worcester,10,2021/10/13 15:00:00+00
2646,Shiloh Middle School,Carroll,2,2021/10/13 15:00:00+00
2647,Shiloh Middle School,Carroll,2,2021/10/13 15:00:00+00
2648,Showell Elementary School,Worcester,19,2021/10/13 15:00:00+00
2649,Snow Hill Middle School,Worcester,24,2021/10/13 15:00:00+00
2650,Somerset Intermediate School,Somerset,26,2021/10/13 15:00:00+00
2651,South River High School,Anne Arundel,2,2021/10/13 15:00:00+00
2652,Spring Ridge Middle School,St. Mary's,42,2021/10/13 15:00:00+00
2653,St. Charles High School,Charles,4,2021/10/13 15:00:00+00
2654,St. Jerome Academy,Prince George's,20,2021/10/13 15:00:00+00
2655,St. John the Evangelist Catholic School,Baltimore,7,2021/10/13 15:00:00+00
2656,St. Louis School,Howard,3,2021/10/13 15:00:00+00
2657,St. Mary's School,Charles,2,2021/10/13 15:00:00+00
2658,St. Michaels Elementary School,Talbot,2,2021/10/13 15:00:00+00
2659,St. Michael's School,St. Mary's,2,2021/10/13 15:00:00+00
2660,St. Ursula Catholic School,Baltimore,36,2021/10/13 15:00:00+00
2661,Stephen Decatur High School,Wicomico,4,2021/10/13 15:00:00+00
2662,Sudersville Middle School,Queen Anne's,6,2021/10/13 15:00:00+00
2663,Sugarloaf Elementary School,Frederick,3,2021/10/13 15:00:00+00
2664,T.C. Martin Elementary School,Charles,17,2021/10/13 15:00:00+00
2665,Talbott Spring Elementary School,Howard,4,2021/10/13 15:00:00+00
2666,Talmudical Academy,Baltimore,37,2021/10/13 15:00:00+00
2667,The Arrow School of Education,Baltimore,3,2021/10/13 15:00:00+00
2668,"The Children's Guild, Inc. - Prince George's Campus",Prince George's,9,2021/10/13 15:00:00+00
2669,The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,2021/10/13 15:00:00+00
2670,The John Carroll School,Harford,2,2021/10/13 15:00:00+00
2671,Thomson Estates Elementary School,Cecil,1,2021/10/13 15:00:00+00
2672,Tuscarora Elementary School,Frederick,6,2021/10/13 15:00:00+00
2673,Vila Maria School,Baltimore,6,2021/10/13 15:00:00+00
2674,Walkersville Middle School,Frederick,7,2021/10/13 15:00:00+00
2675,Washington High School,Somerset,17,2021/10/13 15:00:00+00
2676,Wellwood International School,Baltimore,5,2021/10/13 15:00:00+00
2677,West Friendship Elementary School,Howard,3,2021/10/13 15:00:00+00
2678,West Side Elementary,Allegany,2,2021/10/13 15:00:00+00
2679,Western Heights Middle,Washington,24,2021/10/13 15:00:00+00
2680,White Marsh Elementary School,St. Mary's,4,2021/10/13 15:00:00+00
2681,William Winchester Elementary School,Carroll,2,2021/10/13 15:00:00+00
2682,Williamsport High School,Washington,31,2021/10/13 15:00:00+00
2683,Windsor Farm Elementary School,Anne Arundel,2,2021/10/13 15:00:00+00
2684,Woodbridge Elementary,Baltimore,2,2021/10/13 15:00:00+00
2685,Woodside Elementary School,Anne Arundel,2,2021/10/13 15:00:00+00
2686,Yough Glades Elementary School,Garrett,5,2021/10/13 15:00:00+00
2961,Allegany High School,Allegany,29,2021/10/20 15:00:00+00
2962,Alphabet Education Inc at Mary B Neal Elementary,Charles,2,2021/10/20 15:00:00+00
2963,Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,2021/10/20 15:00:00+00
2964,Annapolis Area Christian School - Lower School Severn,Anne Arundel,5,2021/10/20 15:00:00+00
2965,Arbutus Middle School,Baltimore,3,2021/10/20 15:00:00+00
2966,Arundel High School,Anne Arundel,2,2021/10/20 15:00:00+00
2967,Baltimore International Academy - East,Baltimore City,12,2021/10/20 15:00:00+00
2968,Barstow Elementary School,Calvert,2,2021/10/20 15:00:00+00
2969,Bel Air Elementary School,Allegany,3,2021/10/20 15:00:00+00
2970,Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,2021/10/20 15:00:00+00
2971,Bodkin Elementary School,Anne Arundel,4,2021/10/20 15:00:00+00
2972,Braddock Middle School,Allegany,24,2021/10/20 15:00:00+00
2973,Brunswick Elementary School,Frederick,4,2021/10/20 15:00:00+00
2974,Buckingham Elementary School,Worcester,11,2021/10/20 15:00:00+00
2975,Captain Walter Francis Duke Middle School,St. Mary's,14,2021/10/20 15:00:00+00
2976,Cardinal Shehan School,Baltimore City,6,2021/10/20 15:00:00+00
2977,Career Center for Technical Education,Allegany,30,2021/10/20 15:00:00+00
2978,Carter G Woodson Elementary,Somerset,42,2021/10/20 15:00:00+00
2979,Cash Valley Elementary School,Allegany,2,2021/10/20 15:00:00+00
2980,Catoctin High School,Frederick,26,2021/10/20 15:00:00+00
2981,Chesapeake Bay Middle School,Anne Arundel,15,2021/10/20 15:00:00+00
2982,Chesapeake High School,Anne Arundel,40,2021/10/20 15:00:00+00
2983,Columbia Academy Elementary and Middle School,Howard,3,2021/10/20 15:00:00+00
2984,Crisfield High School,Somerset,22,2021/10/20 15:00:00+00
2985,Crofton High School,Anne Arundel,16,2021/10/20 15:00:00+00
2986,Deerfield Elementary School,Harford,4,2021/10/20 15:00:00+00
2987,Diamond Elementary School,Montgomery,3,2021/10/20 15:00:00+00
2988,Dowell Elementary School,Calvert,3,2021/10/20 15:00:00+00
2989,Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,2021/10/20 15:00:00+00
2990,Dr. Thomas L. Higdon Elementary School,Charles,4,2021/10/20 15:00:00+00
2991,Dublin Elementary School,Harford,4,2021/10/20 15:00:00+00
2992,Easton Elementary School,Talbot,3,2021/10/20 15:00:00+00
2993,Edgemere Elementary School,Baltimore,2,2021/10/20 15:00:00+00
2994,Esperanza Middle School,St. Mary's,33,2021/10/20 15:00:00+00
2995,Fallston High School,Harford,2,2021/10/20 15:00:00+00
2996,Father Andrew White SJ School,St. Mary's,3,2021/10/20 15:00:00+00
2997,Fort Hill High School,Allegany,38,2021/10/20 15:00:00+00
2998,Frank Hebron Harman Elementary,Anne Arundel,3,2021/10/20 15:00:00+00
2999,Franklin Square Elementary School,Baltimore City,5,2021/10/20 15:00:00+00
3000,Friends School,Baltimore City,41,2021/10/20 15:00:00+00
3001,Garnet Elementary School,Kent,2,2021/10/20 15:00:00+00
3002,Gilpin Manor Elementary School,Cecil,2,2021/10/20 15:00:00+00
3003,Great Mills High School,St. Mary's,55,2021/10/20 15:00:00+00
3004,Greenwood Elementary School,Somerset,15,2021/10/20 15:00:00+00
3005,Hancock Middle-Senior High School,Washington,8,2021/10/20 15:00:00+00
3006,Havre de Grace Elementary School,Harford,11,2021/10/20 15:00:00+00
3007,Hickory Elementary School,Harford,4,2021/10/20 15:00:00+00
3008,Hollywood Elementary School,St. Mary's,6,2021/10/20 15:00:00+00
3009,Homestead Wakefield Elementary School,Harford,6,2021/10/20 15:00:00+00
3010,Honeygo Elementary School,Baltimore,2,2021/10/20 15:00:00+00
3011,Indian Creek School,Anne Arundel,4,2021/10/20 15:00:00+00
3012,Joppatowne Elementary,Harford,4,2021/10/20 15:00:00+00
3013,Kenwood High School,Baltimore,3,2021/10/20 15:00:00+00
3014,Kings Christian Academy,St. Mary's,3,2021/10/20 15:00:00+00
3015,La Plata High School,Charles,8,2021/10/20 15:00:00+00
3016,Leonardtown High School,St. Mary's,72,2021/10/20 15:00:00+00
3017,Leonardtown Middle School,St. Mary's,22,2021/10/20 15:00:00+00
3018,Lexington Park Elementary School,St. Mary's,2,2021/10/20 15:00:00+00
3019,Logan Elementary School,Baltimore,3,2021/10/20 15:00:00+00
3020,Margaret Brent Middle School,St. Mary's,89,2021/10/20 15:00:00+00
3021,Mattawoman Middle School,Charles,5,2021/10/20 15:00:00+00
3022,McDonogh School,Baltimore,4,2021/10/20 15:00:00+00
3023,Middletown High School,Frederick,8,2021/10/20 15:00:00+00
3024,Mill Creek Middle School,Calvert,3,2021/10/20 15:00:00+00
3025,Monarch Global Academy,Anne Arundel,13,2021/10/20 15:00:00+00
3026,Mother Mary Lange Catholic School,Baltimore City,3,2021/10/20 15:00:00+00
3027,Mount Airy Middle School,Carroll,2,2021/10/20 15:00:00+00
3028,Mountain Ridge High School,Allegany,28,2021/10/20 15:00:00+00
3029,North Bend Elementary School,Harford,2,2021/10/20 15:00:00+00
3030,North Caroline High School,Caroline,7,2021/10/20 15:00:00+00
3031,North Dorchester High School,Dorchester,21,2021/10/20 15:00:00+00
3032,North Dorchester Middle School,Dorchester,24,2021/10/20 15:00:00+00
3033,North East Elementary School,Cecil,2,2021/10/20 15:00:00+00
3034,North East Middle School,Cecil,34,2021/10/20 15:00:00+00
3035,North Hagerstown High School,Washington,9,2021/10/20 15:00:00+00
3036,Northeast High School,Anne Arundel,30,2021/10/20 15:00:00+00
3037,Northeast Middle School,Anne Arundel,20,2021/10/20 15:00:00+00
3038,Northern Middle School,Washington,23,2021/10/20 15:00:00+00
3039,Northwest Middle School,Carroll,29,2021/10/20 15:00:00+00
3040,Oakland Mills Middle School,Howard,2,2021/10/20 15:00:00+00
3041,Oakville Elementary School,St. Mary's,16,2021/10/20 15:00:00+00
3042,Odenton Elementary School,Anne Arundel,2,2021/10/20 15:00:00+00
3043,Orchard Groves Elementary School,Frederick,17,2021/10/20 15:00:00+00
3044,Parkside High School,Wicomico,33,2021/10/20 15:00:00+00
3045,Parkville Middle School,Baltimore,3,2021/10/20 15:00:00+00
3046,Patuxent Appeal Elementary School,Calvert,3,2021/10/20 15:00:00+00
3047,Perryville High School,Cecil,22,2021/10/20 15:00:00+00
3048,Perryville Middle School,Cecil,7,2021/10/20 15:00:00+00
3049,Pimlico Elementary Middle School,Baltimore City,12,2021/10/20 15:00:00+00
3050,Piney Point Elementary School,St. Mary's,42,2021/10/20 15:00:00+00
3051,Pocomoke High School,Worcester,6,2021/10/20 15:00:00+00
3052,Poolesville Elementary School,Montgomery,4,2021/10/20 15:00:00+00
3053,Ridge Elementary School,St. Mary's,3,2021/10/20 15:00:00+00
3054,Route 40 Elementary School,Garrett,3,2021/10/20 15:00:00+00
3055,Seaside Christian Academy,Worcester,10,2021/10/20 15:00:00+00
3056,Shady Spring Elementary School,Baltimore,11,2021/10/20 15:00:00+00
3057,Shiloh Middle School,Carroll,2,2021/10/20 15:00:00+00
3058,Shiloh Middle School,Carroll,2,2021/10/20 15:00:00+00
3059,Showell Elementary School,Worcester,21,2021/10/20 15:00:00+00
3060,Silver Oak Academy,Carroll,6,2021/10/20 15:00:00+00
3061,Snow Hill Middle School,Worcester,25,2021/10/20 15:00:00+00
3062,Somerset Intermediate School,Somerset,29,2021/10/20 15:00:00+00
3063,South River High School,Anne Arundel,2,2021/10/20 15:00:00+00
3064,South-Dorchester K-8,Dorchester,3,2021/10/20 15:00:00+00
3065,Southern High School,Anne Arundel,3,2021/10/20 15:00:00+00
3066,Southern Middle School,Anne Arundel,16,2021/10/20 15:00:00+00
3067,Sparrows Point Middle School,Baltimore,2,2021/10/20 15:00:00+00
3068,Spring Ridge Middle School,St. Mary's,49,2021/10/20 15:00:00+00
3069,St. Charles High School,Charles,22,2021/10/20 15:00:00+00
3070,St. Jerome Academy,Prince George's,20,2021/10/20 15:00:00+00
3071,St. John the Evangelist Catholic School,Baltimore,7,2021/10/20 15:00:00+00
3072,St. Louis School,Howard,3,2021/10/20 15:00:00+00
3073,St. Mary's School,Charles,2,2021/10/20 15:00:00+00
3074,St. Michaels Elementary School,Talbot,2,2021/10/20 15:00:00+00
3075,St. Michael's School,St. Mary's,2,2021/10/20 15:00:00+00
3076,St. Ursula Catholic School,Baltimore,39,2021/10/20 15:00:00+00
3077,Stephen Decatur High School,Worcester,4,2021/10/20 15:00:00+00
3078,Sudersville Middle School,Queen Anne's,9,2021/10/20 15:00:00+00
3079,Summit Park Elementary,Baltimore,7,2021/10/20 15:00:00+00
3080,Sussex Elementary School,Baltimore,2,2021/10/20 15:00:00+00
3081,Talbott Spring Elementary School,Howard,4,2021/10/20 15:00:00+00
3082,"The Children's Guild, Inc. - Prince George's Campus",Prince George's,12,2021/10/20 15:00:00+00
3083,Thomson Estates Elementary School,Cecil,4,2021/10/20 15:00:00+00
3084,Town Creek Elementary School,St. Mary's,2,2021/10/20 15:00:00+00
